"﻿Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Variável - Rendimento médio da produção (Quilogramas por Hectare),,,,,,,,,,,,,,,,,,,,,,
Cód.,Município,Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,
Cód.,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cód.,Município,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar
3500105,Adamantina (SP),50000,80000,76311,77794,80000,81307,75000,100000,90000,80000,80000,75000,60000,70000,60000,80000,80000,80000,70000,75000,70000
3500204,Adolfo (SP),-,80000,-,-,120000,89009,100000,100000,80000,90000,90000,90000,90000,90000,70000,70000,80000,90000,90000,90000,90000
3500303,Aguaí (SP),80000,-,87000,86089,86000,85434,85000,85000,89080,90000,95000,90000,90000,100000,100000,80000,90000,90000,85000,85000,85000
3500402,Águas da Prata (SP),-,-,-,-,-,-,-,-,-,120000,120000,60000,90000,90000,90000,-,-,-,-,-,-
3500501,Águas de Lindóia (SP),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3500550,Águas de Santa Bárbara (SP),-,-,-,-,-,-,80333,80000,82000,61651,85000,80000,100000,100000,100000,90000,63000,80000,70000,75000,55000
3500600,Águas de São Pedro (SP),...,...,...,...,...,...,...,...,...,...,-,...,-,...,...,...,...,...,...,...,...
3500709,Agudos (SP),70000,70000,70000,70000,77996,77723,80000,88669,80000,80000,80000,79500,79500,79500,60004,64794,61000,70000,61000,70000,70000
3500758,Alambari (SP),-,-,-,-,-,-,-,-,75000,88888,100000,92300,70000,80000,72800,80000,80000,80000,80000,80000,80000
3500808,Alfredo Marcondes (SP),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3500907,Altair (SP),75000,75000,75000,75000,75000,74501,75000,80000,75000,75000,80000,93000,93000,75100,68182,75100,80000,80000,80000,80000,75000
3501004,Altinópolis (SP),70000,75000,65000,65000,65000,69536,75000,75000,75000,70000,80000,78000,86957,80000,74100,82000,74000,74000,74000,74000,74000
3501103,Alto Alegre (SP),70000,-,70000,56000,70000,79000,80000,80000,75000,...,70000,65000,80000,80000,65430,56490,74230,65690,65690,80000,70000
3501152,Alumínio (SP),-,-,50000,50000,60000,50134,50135,50000,50000,-,10000,90000,90000,100000,100000,100000,100000,100000,100000,85000,100000
3501202,Álvares Florence (SP),-,-,-,-,-,-,80000,100000,100000,80000,80000,79231,80000,74754,71604,70004,83798,80000,75002,75002,75000
3501301,Álvares Machado (SP),-,-,-,-,-,-,-,-,-,-,-,-,-,-,75000,75000,75000,80000,100000,100000,100000
3501400,Álvaro de Carvalho (SP),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3501509,Alvinlândia (SP),-,-,-,-,-,39733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3501608,Americana (SP),60000,75000,75000,75000,75000,74497,75000,80000,80000,78260,75000,93750,56000,76800,80269,77360,80000,80000,80000,80000,80000
3501707,Américo Brasiliense (SP),79242,80000,71600,71600,80000,81759,81760,80000,100000,100000,83895,83895,84000,84000,84000,75000,80000,80000,80000,80000,80000
3501806,Américo de Campos (SP),-,-,-,-,-,-,-,-,60053,62000,60000,79688,72000,72000,61000,70000,78000,78000,70000,70000,71944
3501905,Amparo (SP),90000,90000,100000,100000,90000,99360,110000,110000,110000,110000,110000,100000,80000,80000,72628,60000,60000,60000,60000,60000,60000
3502002,Analândia (SP),85000,85000,85000,85000,85000,84430,85000,85000,85000,85000,85000,85000,63143,85000,85000,85000,85000,85000,85000,85000,85000
3502101,Andradina (SP),80000,80000,80000,80000,80000,80423,80000,80000,80000,67114,80000,90000,80000,80000,70000,70000,70000,70000,75000,70000,70000
3502200,Angatuba (SP),-,-,112982,82271,83000,74732,70152,75000,75000,84615,95000,88600,85000,100000,78000,100000,100000,100000,85000,85000,90000
3502309,Anhembi (SP),60000,60000,60000,60000,60000,54639,65000,85000,85000,85000,75000,75000,75000,80000,62000,85000,70000,80000,80000,79259,79259
3502408,Anhumas (SP),-,-,-,70000,70000,69529,70000,75000,70000,70000,80000,70000,71000,80000,77000,70000,60000,75000,75000,75000,73475
3502507,Aparecida (SP),...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3502606,Aparecida d'Oeste (SP),-,-,-,60000,60000,59599,120000,140000,14000,120000,100000,100000,90000,90000,80000,80000,80000,80000,80000,85000,85000
