CD_MUN;Município;value;YEAR;AET;NDVI;NPP;SOIL;TMIN;TMMX;PR
3500105;Adamantina (SP);50000;2000;704;5174;4047;166;163;288;91
3500204;Adolfo (SP);;2000;716;4080;5245;255;162;290;94
3500303;Aguaí (SP);80000;2000;675;5614;8672;399;151;272;109
3500550;Águas de Santa Bárbara (SP);;2000;776;5388;8146;246;142;270;95
3500709;Agudos (SP);70000;2000;746;5969;9080;248;146;274;94
3500758;Alambari (SP);;2000;679;5634;10848;181;140;249;90
3500907;Altair (SP);75000;2000;686;5609;5608;412;168;297;107
3501004;Altinópolis (SP);70000;2000;681;5740;8993;411;154;268;123
3501103;Alto Alegre (SP);70000;2000;719;5165;5088;205;154;282;94
3501152;Alumínio (SP);;2000;686;6061;12964;310;128;233;109
3501202;Álvares Florence (SP);;2000;688;5103;4881;296;167;296;100
3501608;Americana (SP);60000;2000;650;4394;8692;246;149;267;102
3501707;Américo Brasiliense (SP);79242;2000;687;5098;8028;322;154;271;110
3501806;Américo de Campos (SP);;2000;684;5195;5014;308;168;297;100
3501905;Amparo (SP);90000;2000;673;6169;10941;327;134;251;107
3502002;Analândia (SP);85000;2000;682;5999;9184;303;145;257;111
3502101;Andradina (SP);80000;2000;718;5327;3918;218;169;293;95
3502200;Angatuba (SP);;2000;738;5884;11449;260;140;258;96
3502309;Anhembi (SP);60000;2000;701;5340;9868;243;150;269;99
3502408;Anhumas (SP);;2000;807;5431;4178;120;170;289;92
3502606;Aparecida d'Oeste (SP);;2000;691;5422;4217;192;165;292;98
3502804;Araçatuba (SP);80000;2000;699;4832;4420;200;162;289;95
3502903;Araçoiaba da Serra (SP);70000;2000;662;5298;9985;201;139;246;91
3503000;Aramina (SP);71000;2000;659;4920;7389;403;165;284;133
3503109;Arandu (SP);;2000;777;4259;8193;256;141;268;92
3503158;Arapeí (SP);;2000;716;6767;15641;569;129;247;118
3503208;Araraquara (SP);70000;2000;686;5380;8595;314;152;269;108
3503307;Araras (SP);70000;2000;658;5642;9201;297;148;266;107
3503356;Arco-Íris (SP);;2000;730;4941;4340;169;156;284;94
3503406;Arealva (SP);80000;2000;699;5418;6744;224;155;281;90
3503505;Areias (SP);80000;2000;716;6507;14653;569;118;238;123
3503604;Areiópolis (SP);90000;2000;728;5289;8079;261;145;269;101
3503703;Ariranha (SP);77000;2000;686;5293;6675;342;163;286;104
3503802;Artur Nogueira (SP);45000;2000;655;5425;8921;308;145;264;104
3503950;Aspásia (SP);;2000;673;5280;4006;249;162;291;99
3504008;Assis (SP);70000;2000;803;5294;5461;160;151;276;92
3504107;Atibaia (SP);;2000;668;6182;12122;334;129;237;109
3504206;Auriflama (SP);80000;2000;685;5417;4301;205;164;291;95
3504305;Avaí (SP);70000;2000;746;5607;7190;238;152;280;94
3504404;Avanhandava (SP);84317;2000;730;5127;5408;251;157;285;96
3504503;Avaré (SP);70000;2000;761;5218;9540;291;137;265;96
3504602;Bady Bassitt (SP);70000;2000;686;5309;5585;301;164;291;97
3504701;Balbinos (SP);;2000;726;4968;6037;251;154;282;95
3504800;Bálsamo (SP);60000;2000;690;5467;5535;313;163;291;102
3504909;Bananal (SP);60000;2000;715;7156;16606;573;122;239;118
3505104;Barbosa (SP);80000;2000;722;4751;5049;244;162;290;95
3505203;Bariri (SP);70000;2000;691;5254;6673;252;156;280;96
3505302;Barra Bonita (SP);90000;2000;718;5048;8002;252;149;271;101
3505500;Barretos (SP);90000;2000;680;5260;5922;449;168;295;111
3505609;Barrinha (SP);80000;2000;679;5095;7208;339;162;285;113
3505807;Bastos (SP);80000;2000;770;5375;4409;149;159;285;96
3505906;Batatais (SP);80000;2000;678;5112;7698;390;156;264;128
3506003;Bauru (SP);70000;2000;727;5331;7195;233;153;281;92
3506102;Bebedouro (SP);90000;2000;680;5446;6445;405;165;288;109
3506201;Bento de Abreu (SP);85000;2000;691;5210;4428;189;161;287;93
3506300;Bernardino de Campos (SP);70000;2000;821;5320;8198;238;142;269;100
3506409;Bilac (SP);64000;2000;708;5170;4557;197;157;284;96
3506508;Birigui (SP);70000;2000;712;5060;4717;206;159;287;96
3506706;Boa Esperança do Sul (SP);70000;2000;693;5723;8008;282;156;277;103
3506805;Bocaina (SP);80000;2000;692;5747;7538;267;153;274;101
3507001;Boituva (SP);70000;2000;654;5056;9353;186;143;255;93
3507209;Borá (SP);89965;2000;789;5421;4899;154;154;280;95
3507308;Boracéia (SP);90000;2000;697;4796;6602;241;156;281;93
3507407;Borborema (SP);80000;2000;711;5034;6312;266;161;286;98
3507456;Borebi (SP);70000;2000;738;6488;11055;264;141;269;95
3507506;Botucatu (SP);70000;2000;731;5572;10581;274;140;262;102
3507605;Bragança Paulista (SP);;2000;683;5843;11446;331;128;240;111
3507704;Braúna (SP);70000;2000;713;5165;4836;205;154;282;96
3507753;Brejo Alegre (SP);;2000;712;4408;4698;217;161;289;95
3507803;Brodowski (SP);65000;2000;694;5340;7680;381;157;275;125
3507902;Brotas (SP);82000;2000;686;5870;9712;295;145;259;108
3508108;Buritama (SP);80000;2000;706;4942;4518;218;163;291;95
3508207;Buritizal (SP);75000;2000;646;5463;7982;388;159;269;134
3508306;Cabrália Paulista (SP);70000;2000;768;5669;7883;238;147;276;96
3508405;Cabreúva (SP);70000;2000;672;6717;14410;305;131;239;107
3508504;Caçapava (SP);60000;2000;675;5907;13495;345;145;251;104
3508702;Caconde (SP);90000;2000;680;6037;10797;540;137;257;123
3508801;Cafelândia (SP);80000;2000;736;5178;6089;252;155;282;97
3508900;Caiabu (SP);75004;2000;752;5406;3664;133;170;293;91
3509106;Caiuá (SP);70000;2000;783;5143;2788;151;174;295;92
3509304;Cajobi (SP);85000;2000;686;5636;6586;385;167;292;107
3509403;Cajuru (SP);70000;2000;687;5837;8791;418;151;271;119
3509452;Campina do Monte Alegre (SP);;2000;740;5605;10776;259;140;255;95
3509502;Campinas (SP);75000;2000;666;4982;10402;279;145;261;104
3509809;Campos Novos Paulista (SP);65000;2000;799;5151;6077;197;147;274;92
3510005;Cândido Mota (SP);80000;2000;800;4880;5212;143;156;279;90
3510104;Cândido Rodrigues (SP);90000;2000;679;5362;6747;329;162;284;105
3510153;Canitar (SP);100000;2000;838;4921;5722;204;149;275;100
3510302;Capela do Alto (SP);80000;2000;665;5280;9907;183;141;250;91
3510401;Capivari (SP);84003;2000;643;5348;8783;166;147;262;97
3510708;Cardoso (SP);;2000;680;4807;4852;321;170;299;102
3510807;Casa Branca (SP);75000;2000;674;5639;9117;431;152;274;106
3510906;Cássia dos Coqueiros (SP);70000;2000;679;5940;10103;462;141;256;122
3511003;Castilho (SP);80000;2000;739;5346;3766;238;174;296;94
3511102;Catanduva (SP);70000;2000;705;5206;6636;331;164;289;103
3511201;Catiguá (SP);80000;2000;701;5112;6232;333;164;290;102
3511300;Cedral (SP);80000;2000;688;5400;5784;332;164;291;100
3511409;Cerqueira César (SP);90000;2000;768;5112;8485;242;139;267;92
3511508;Cerquilho (SP);80000;2000;653;5123;9291;184;146;260;93
3511607;Cesário Lange (SP);150000;2000;668;4981;9074;189;144;259;94
3511706;Charqueada (SP);70000;2000;671;5356;8638;252;150;266;106
3511904;Clementina (SP);70000;2000;714;5210;4662;191;156;283;96
3512001;Colina (SP);90000;2000;675;5422;6416;421;166;290;108
3512100;Colômbia (SP);64000;2000;699;5069;5592;471;169;298;120
3512209;Conchal (SP);80000;2000;660;5432;8795;333;147;267;107
3512308;Conchas (SP);60000;2000;682;5767;10237;209;151;268;95
3512407;Cordeirópolis (SP);60000;2000;647;5323;8765;260;145;262;104
3512506;Coroados (SP);60000;2000;711;4990;5050;212;157;285;96
3512704;Corumbataí (SP);80000;2000;668;6010;9342;282;148;263;108
3512803;Cosmópolis (SP);75000;2000;652;5213;8816;282;147;266;103
3512902;Cosmorama (SP);;2000;694;5322;4955;298;166;296;100
3513108;Cravinhos (SP);75000;2000;711;5175;7625;346;155;278;120
3513207;Cristais Paulista (SP);;2000;658;5737;8973;384;155;254;132
3513306;Cruzália (SP);;2000;819;4444;4301;159;163;284;95
3513405;Cruzeiro (SP);40000;2000;724;6525;15299;585;132;256;121
3513702;Descalvado (SP);65000;2000;691;5754;8367;321;153;269;112
3513850;Dirce Reis (SP);;2000;681;5358;4060;213;164;293;96
3514007;Dobrada (SP);70000;2000;670;5111;7492;305;156;277;108
3514106;Dois Córregos (SP);75000;2000;699;5130;8184;268;145;264;104
3514205;Dolcinópolis (SP);;2000;674;5158;4236;280;163;292;101
3514304;Dourado (SP);80000;2000;692;5904;8749;287;151;270;104
3514403;Dracena (SP);;2000;733;5262;3206;166;169;293;91
3514502;Duartina (SP);;2000;761;5525;7288;236;147;276;96
3514601;Dumont (SP);80000;2000;688;5069;6981;334;159;282;116
3514700;Echaporã (SP);74000;2000;791;5587;6190;180;147;274;92
3514908;Elias Fausto (SP);95000;2000;651;5261;8821;190;147;261;98
3514924;Elisiário (SP);65757;2000;704;5569;6313;314;164;290;100
3514957;Embaúba (SP);78200;2000;689;5517;6607;372;166;292;106
3515129;Emilianópolis (SP);;2000;744;5209;3331;141;172;295;90
3515152;Engenheiro Coelho (SP);70000;2000;654;5571;8820;309;145;264;105
3515186;Espírito Santo do Pinhal (SP);60000;2000;693;6264;9594;401;139;261;120
3515194;Espírito Santo do Turvo (SP);47000;2000;794;4971;6979;243;148;276;99
3515202;Estrela d'Oeste (SP);80000;2000;681;5401;4289;264;163;291;99
3515301;Estrela do Norte (SP);;2000;813;5483;3528;126;169;289;91
3515350;Euclides da Cunha Paulista (SP);50000;2000;867;5055;3156;158;165;287;96
3515509;Fernandópolis (SP);83988;2000;688;5192;4639;274;164;292;101
3515608;Fernando Prestes (SP);100000;2000;680;5476;6716;329;163;286;104
3515806;Flora Rica (SP);;2000;731;5160;3438;153;169;293;91
3515905;Floreal (SP);;2000;703;5312;4788;232;163;292;97
3516002;Flórida Paulista (SP);70000;2000;703;5258;3876;168;164;289;90
3516101;Florínea (SP);90000;2000;807;4549;5185;153;162;283;92
3516200;Franca (SP);70000;2000;675;5349;8853;391;156;252;131
3516507;Gabriel Monteiro (SP);70000;2000;712;5191;4584;191;157;284;96
3516804;Gastão Vidigal (SP);66000;2000;701;5266;4926;220;164;292;96
3516853;Gavião Peixoto (SP);70000;2000;687;5693;7905;289;156;277;106
3516903;General Salgado (SP);98000;2000;691;5416;4373;212;163;291;96
3517000;Getulina (SP);80000;2000;729;5096;5240;189;153;281;92
3517109;Glicério (SP);75000;2000;716;4664;4998;220;159;287;96
3517208;Guaiçara (SP);70000;2000;739;5094;5408;260;156;284;96
3517307;Guaimbê (SP);;2000;741;5142;5255;202;151;279;95
3517406;Guaíra (SP);90000;2000;680;4750;5705;457;169;294;122
3517505;Guapiaçu (SP);80000;2000;685;5221;5706;371;166;293;104
3517703;Guará (SP);68000;2000;651;4746;6686;389;165;276;131
3517802;Guaraçaí (SP);80000;2000;685;5656;3815;201;166;290;90
3517901;Guaraci (SP);75000;2000;697;4706;5581;438;170;300;113
3518008;Guarani d'Oeste (SP);75000;2000;675;5078;4706;301;164;292;102
3518107;Guarantã (SP);;2000;742;5239;6186;226;152;279;95
3518206;Guararapes (SP);90000;2000;698;5300;4548;192;160;287;95
3518503;Guareí (SP);;2000;711;5723;11340;224;138;254;97
3518602;Guariba (SP);75000;2000;670;5004;7433;323;158;279;109
3518859;Guatapará (SP);80001;2000;689;5366;8045;319;157;280;113
3518909;Guzolândia (SP);64006;2000;684;5279;4228;199;164;291;95
3519006;Herculândia (SP);;2000;746;4874;4591;155;153;280;94
3519055;Holambra (SP);;2000;658;5538;9020;312;146;264;104
3519071;Hortolândia (SP);;2000;659;3927;8587;243;149;266;103
3519105;Iacanga (SP);70000;2000;709;5280;6474;232;157;283;92
3519204;Iacri (SP);55343;2000;745;5055;4284;169;157;284;97
3519253;Iaras (SP);;2000;752;5464;8537;263;142;270;94
3519303;Ibaté (SP);80000;2000;697;5549;8641;334;149;262;110
3519402;Ibirá (SP);60714;2000;694;5673;5799;311;165;292;98
3519501;Ibirarema (SP);70000;2000;805;4733;5461;159;151;277;90
3519600;Ibitinga (SP);60000;2000;702;5170;6486;256;159;284;96
3519808;Icém (SP);90016;2000;691;4854;5204;409;171;301;109
3519907;Iepê (SP);65000;2000;840;4863;4942;164;165;285;100
3520004;Igaraçu do Tietê (SP);90000;2000;719;5381;7955;251;151;274;100
3520103;Igarapava (SP);73000;2000;659;5221;8287;388;163;281;133
3520442;Ilha Solteira (SP);;2000;730;4391;4046;239;168;294;101
3520509;Indaiatuba (SP);;2000;666;5220;9832;240;146;259;102
3520608;Indiana (SP);;2000;771;5514;3755;129;171;292;92
3520707;Indiaporã (SP);;2000;677;4699;4544;323;167;296;103
3520806;Inúbia Paulista (SP);90000;2000;732;5734;4142;149;161;287;92
3520905;Ipaussu (SP);75000;2000;832;5455;7739;236;143;269;101
3521002;Iperó (SP);60000;2000;661;5837;11292;194;140;250;94
3521101;Ipeúna (SP);90000;2000;670;5818;9528;265;147;263;108
3521150;Ipiguá (SP);100000;2000;687;5352;5446;351;166;295;104
3521309;Ipuã (SP);102068;2000;658;4310;5529;410;166;286;126
3521408;Iracemápolis (SP);90000;2000;646;5466;8997;225;147;264;102
3521507;Irapuã (SP);120000;2000;701;5611;5823;273;162;289;95
3521606;Irapuru (SP);;2000;711;5220;3652;171;165;289;91
3521804;Itaí (SP);50000;2000;788;4890;8165;306;141;263;92
3521903;Itajobi (SP);80000;2000;701;5357;6631;292;162;287;99
3522000;Itaju (SP);;2000;695;5044;6397;245;158;282;94
3522307;Itapetininga (SP);80000;2000;713;5663;10918;226;137;247;94
3522406;Itapeva (SP);70000;2000;778;5911;11746;350;132;246;98
3522604;Itapira (SP);75000;2000;674;5895;10635;362;140;260;113
3522703;Itápolis (SP);80000;2000;693;5534;6670;283;161;285;100
3522901;Itapuí (SP);90000;2000;704;5039;6944;251;154;278;96
3523008;Itapura (SP);100000;2000;752;5135;4060;265;172;296;100
3523404;Itatiba (SP);;2000;667;5766;10459;303;133;245;107
3523503;Itatinga (SP);;2000;749;6042;12308;290;137;260;99
3523602;Itirapina (SP);100000;2000;682;5936;10048;291;141;253;110
3523701;Itirapuã (SP);;2000;669;6065;10802;414;150;253;128
3523800;Itobi (SP);80000;2000;688;5812;9639;471;144;265;114
