mun_id;ano;Valor;Sexo;faixa_id
3500105;2021;825;Mulheres;00 a 04
3500204;2021;80;Mulheres;00 a 04
3500303;2021;1.151;Mulheres;00 a 04
3500402;2021;182;Mulheres;00 a 04
3500501;2021;587;Mulheres;00 a 04
3500550;2021;185;Mulheres;00 a 04
3500600;2021;84;Mulheres;00 a 04
3500709;2021;1.101;Mulheres;00 a 04
3500758;2021;183;Mulheres;00 a 04
3500808;2021;88;Mulheres;00 a 04
3500907;2021;115;Mulheres;00 a 04
3501004;2021;422;Mulheres;00 a 04
3501103;2021;90;Mulheres;00 a 04
3501152;2021;595;Mulheres;00 a 04
3501202;2021;63;Mulheres;00 a 04
3501301;2021;630;Mulheres;00 a 04
3501400;2021;143;Mulheres;00 a 04
3501509;2021;114;Mulheres;00 a 04
3501608;2021;6.111;Mulheres;00 a 04
3501707;2021;1.383;Mulheres;00 a 04
3501806;2021;132;Mulheres;00 a 04
3501905;2021;1.792;Mulheres;00 a 04
3502002;2021;142;Mulheres;00 a 04
3502101;2021;1.505;Mulheres;00 a 04
3502200;2021;785;Mulheres;00 a 04
3502309;2021;217;Mulheres;00 a 04
3502408;2021;109;Mulheres;00 a 04
3502507;2021;1.045;Mulheres;00 a 04
3502606;2021;97;Mulheres;00 a 04
3502705;2021;832;Mulheres;00 a 04
3502754;2021;826;Mulheres;00 a 04
3502804;2021;4.865;Mulheres;00 a 04
3502903;2021;1.107;Mulheres;00 a 04
3503000;2021;154;Mulheres;00 a 04
3503109;2021;187;Mulheres;00 a 04
3503158;2021;71;Mulheres;00 a 04
3503208;2021;5.923;Mulheres;00 a 04
3503307;2021;3.545;Mulheres;00 a 04
3503356;2021;45;Mulheres;00 a 04
3503406;2021;219;Mulheres;00 a 04
3503505;2021;136;Mulheres;00 a 04
3503604;2021;362;Mulheres;00 a 04
3503703;2021;264;Mulheres;00 a 04
3503802;2021;1.593;Mulheres;00 a 04
3503901;2021;3.416;Mulheres;00 a 04
3503950;2021;41;Mulheres;00 a 04
3504008;2021;2.751;Mulheres;00 a 04
3504107;2021;4.554;Mulheres;00 a 04
3504206;2021;336;Mulheres;00 a 04
3504305;2021;157;Mulheres;00 a 04
3504404;2021;382;Mulheres;00 a 04
3504503;2021;2.539;Mulheres;00 a 04
3504602;2021;419;Mulheres;00 a 04
3504701;2021;35;Mulheres;00 a 04
3504800;2021;207;Mulheres;00 a 04
3504909;2021;331;Mulheres;00 a 04
3505005;2021;104;Mulheres;00 a 04
3505104;2021;249;Mulheres;00 a 04
3505203;2021;953;Mulheres;00 a 04
3505302;2021;833;Mulheres;00 a 04
3505351;2021;201;Mulheres;00 a 04
3505401;2021;299;Mulheres;00 a 04
3505500;2021;3.145;Mulheres;00 a 04
3505609;2021;1.151;Mulheres;00 a 04
3505708;2021;10.496;Mulheres;00 a 04
3505807;2021;593;Mulheres;00 a 04
3505906;2021;1.631;Mulheres;00 a 04
3506003;2021;9.805;Mulheres;00 a 04
3506102;2021;1.867;Mulheres;00 a 04
3506201;2021;89;Mulheres;00 a 04
3506300;2021;323;Mulheres;00 a 04
3506359;2021;2.601;Mulheres;00 a 04
3506409;2021;198;Mulheres;00 a 04
3506508;2021;3.121;Mulheres;00 a 04
3506607;2021;1.125;Mulheres;00 a 04
3506706;2021;462;Mulheres;00 a 04
3506805;2021;370;Mulheres;00 a 04
3506904;2021;362;Mulheres;00 a 04
3507001;2021;1.841;Mulheres;00 a 04
3507100;2021;796;Mulheres;00 a 04
3507159;2021;166;Mulheres;00 a 04
3507209;2021;20;Mulheres;00 a 04
3507308;2021;157;Mulheres;00 a 04
3507407;2021;393;Mulheres;00 a 04
3507456;2021;88;Mulheres;00 a 04
3507506;2021;4.127;Mulheres;00 a 04
3507605;2021;4.941;Mulheres;00 a 04
3507704;2021;151;Mulheres;00 a 04
3507753;2021;71;Mulheres;00 a 04
3507803;2021;692;Mulheres;00 a 04
3507902;2021;750;Mulheres;00 a 04
3508009;2021;785;Mulheres;00 a 04
3508108;2021;451;Mulheres;00 a 04
