Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;;;;;;;;;;;;;;;;;
Variável - Área plantada (Hectares);;;;;;;;;;;;;;;;;;;;;;
Cód.;Município;Ano x Produto das lavouras temporárias;;;;;;;;;;;;;;;;;;;;
Cód.;Município;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Cód.;Município;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar
3500105;Adamantina (SP);7000;7000;8048;7644;8300;8603;8000;12000;13000;13000;13000;13000;13000;13000;12115;12950;12900;12800;13000;12500;11349
3500204;Adolfo (SP);-;8000;-;-;968;1104;1114;3418;4954;4384;4461;4461;4461;4461;6209;6309;5809;7320;7266;7016;5015
3500303;Aguaí (SP);5250;-;4200;7180;7850;7664;10200;8000;10962;15000;12000;12000;12500;12500;12500;12500;12500;12500;11500;11500;11500
3500402;Águas da Prata (SP);-;-;-;-;-;-;-;-;-;70;70;85;70;70;70;-;-;-;-;-;-
3500501;Águas de Lindóia (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3500550;Águas de Santa Bárbara (SP);-;-;-;-;-;-;300;300;300;5450;4200;4200;6000;6000;6000;5500;5500;5500;5000;5000;5000
3500600;Águas de São Pedro (SP);...;...;...;...;...;...;...;...;...;...;1;...;-;...;...;...;...;...;...;...;...
3500709;Agudos (SP);8000;8000;7200;8000;3980;4746;9000;10150;12000;15000;12000;14632;15800;15800;15800;14632;15500;14000;14000;14000;10500
3500758;Alambari (SP);-;-;-;-;-;-;-;-;400;450;1000;1100;1100;1100;800;800;800;800;970;800;800
3500808;Alfredo Marcondes (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3500907;Altair (SP);6000;6900;7200;7800;9592;10386;10718;11928;11928;16380;14450;19500;19500;30000;33000;30000;53000;53000;14800;12080;14700
3501004;Altinópolis (SP);10000;10000;10000;10000;11000;12599;12500;12500;12500;26262;27000;27400;13800;14835;24360;28890;28890;28890;28890;23112;23112
3501103;Alto Alegre (SP);3200;-;6500;7500;8000;5002;8700;8700;9500;...;15574;15344;12571;12487;17570;12372;11229;11510;11700;15400;12700
3501152;Alumínio (SP);-;-;50;50;50;52;52;52;52;-;10;10;10;10;10;10;10;10;10;10;10
3501202;Álvares Florence (SP);-;-;-;-;-;-;200;242;1300;2200;2200;2600;6000;7600;8597;8597;8520;10200;12184;8908;7954
3501301;Álvares Machado (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;200;200;200;250;500;500;800
